coreid,aff_total,coresex,coreprefyr,Degree,Major,fy14,donor
1923,11,F,2007,MS    ,Communications,100,1
8266,24,M,1988,BBA   ,Accounting,25,1
14743,26,F,2012,BA    ,English Language and Literature,8100,1
36748,82,F,1972,BA    ,Political Science,2000,1
39842,2,F,2000,MED   ,General Education,20,1
41332,6,F,2007,BS    ,Legal Studies,50,1
62362,4,F,2005,MPA   ,Public Administration,25,1
68219,31,M,2006,MPA   ,Public Administration,100,1
70742,4,M,2005,BA    ,English Language and Literature,100,1
77259,28,M,2014,MPA   ,Public Administration,510,1
83514,17,M,1970,BPH   ,Environmental Studies,500,1
83549,10,F,1967,BA    ,English Language and Literature,25,1
83577,7,M,1975,BS    ,Physical Education,100,1
83586,17,M,1973,BS    ,GRP SS Hist,250,1
83622,4,M,1973,BS    ,Biology,20,1
83636,19,F,1971,BS    ,Psychology,2000,1
83643,26,M,1974,BS    ,Geology,300,1
83698,4,F,1973,BS    ,Biology,50,1
83705,11,M,1970,BS    ,Physical Education,250,1
83706,8,M,1977,BS    ,Mathematics,250,1
83709,11,M,1970,BS    ,Chemistry,750,1
83719,11,M,1969,BA    ,GRO Soc Science,200,1
83740,8,F,1970,BS    ,Sociology,50,1
83749,10,M,1973,BS    ,Chemistry,25,1
83763,10,M,1972,BA    ,History,25,1
83813,15,F,1975,BS    ,Physical Education,2000,1
83887,11,M,1971,BS    ,Physics,250,1
83894,13,M,1975,BA    ,French,750,1
83982,4,F,1971,BA    ,GRO Soc Science,25,1
83992,5,M,1978,BS    ,Political Science,500,1
84013,3,F,1968,BS    ,GRP SS Hist,100,1
84033,20,M,1967,BA    ,History,100,1
84057,2,M,1968,BA    ,Biology,600,1
84082,4,M,1967,BS    ,Biology,1000,1
84083,19,F,1972,BA    ,Art,4500,1
84105,11,F,1968,BA    ,English Language and Literature,100,1
84153,19,M,1970,BS    ,Geology,1000,1
84154,60,F,1967,BA    ,GRO Soc Science,21000,1
84160,8,M,1969,BA    ,Economics,100,1
84167,3,M,1968,BA    ,English Language and Literature,30,1
84210,6,M,1968,BA    ,GRO Soc Science,360,1
84212,4,M,1970,BS    ,Sociology,100,1
84243,13,F,1973,BA    ,Art,2775.96,1
84285,5,F,1972,BA    ,English Language and Literature,55,1
84326,8,M,1967,BA    ,GRO Soc Science,30,1
84340,6,M,1972,BS    ,Health Science,100,1
84343,6,M,1974,BA    ,English Language and Literature,100,1
84355,59,M,1978,BBA   ,Business General,500,1
84390,2,M,1976,BS    ,Political Science,25,1
84393,16,M,1976,BS    ,Public Administration,100,1
84395,7,F,1971,BS    ,Group SS Soc,50,1
84414,9,M,1971,BS    ,Group SS Soc,50,1
84429,5,F,1973,BS    ,Biology,20,1
84440,14,M,1977,BS    ,GRP SS Hist,350,1
84461,12,M,1967,BS    ,GRO Soc Science,50,1
84514,9,M,1970,BS    ,Anthropology,200,1
84538,10,F,1974,MED   ,General Education,25,1
84566,13,M,1971,BBA   ,Business General,500,1
84584,16,F,1971,BS    ,Anthropology,400,1
84585,8,M,1976,BPH   ,Environmental Studies,100,1
84600,15,F,1967,BA    ,History,100,1
84613,6,F,1982,BS    ,Sociology,100,1
84625,64,M,1969,BS    ,Group Social Studies,900,1
84635,5,F,1975,BS    ,Political Science,100,1
84646,15,F,1975,BS    ,Sociology,100,1
84652,7,M,1975,MPA   ,Public Administration,500,1
84679,4,M,1971,BS    ,Political Science,100,1
84723,5,M,1974,BS    ,Physical Education,50,1
84724,8,F,1969,BS    ,Group Science,25,1
84728,85,M,1969,BS    ,GRO Soc Science,60,1
84800,76,M,1968,BA    ,Mathematics,21000,1
84838,1,F,1970,BS    ,Group SS Soc,10,1
84867,7,F,1994,BS    ,Therapeutic Recreation,15,1
84869,3,M,1984,MBA   ,Finance,25,1
84936,13,M,1968,BS    ,Chemistry,600,1
84938,2,M,1969,BS    ,Group Science,50,1
84953,8,M,1968,BA    ,Psychology,50,1
84965,4,F,1972,BS    ,Group SS Soc,25,1
84966,12,M,1974,hdltrs,,500,1
84985,60,M,1973,BA    ,Psychology,600,1
84992,9,F,1972,BA    ,History,60,1
84997,8,F,1971,BA    ,Group SS Soc,50,1
85001,13,M,1977,BS    ,GRP SS Hist,300,1
85017,8,F,1991,MED   ,Special Education,400,1
85026,63,F,1969,BS    ,GRO Soc Science,550,1
85029,12,M,1974,BS    ,Group SS Soc,250,1
85048,12,F,1973,BA    ,English Language and Literature,600,1
85080,13,F,1971,BS    ,GRO Soc Science,500,1
85086,12,F,1968,BA    ,German,650,1
85090,4,M,1972,BS    ,Public Administration,50,1
85093,14,M,1991,BS    ,Industrial Technology,100,1
85096,15,F,1968,BA    ,English Language and Literature,100,1
